,avg_tem,avg_hum,avg_dew,max_tem,min_tem,max_hum,min_hum,max_hea,Month,date_obj,Year,dep_dew,ran_dew
0,32.1,49.0,15.2,40.0,22.1,61.0,41.0,40.0,1,2010-01-01,2010,16.900000000000002,57.10000000000001
1,32.1,50.0,15.5,39.1,22.0,77.0,39.0,39.1,1,2010-01-02,2010,16.6,62.78
2,23.1,64.0,12.1,33.4,9.2,85.0,34.0,33.4,1,2010-01-03,2010,11.000000000000002,74.56
3,25.7,48.0,7.2,36.5,7.6,82.0,25.0,36.5,1,2010-01-04,2010,18.5,81.42
4,34.3,51.0,17.8,40.1,28.4,60.0,43.0,40.1,1,2010-01-05,2010,16.499999999999996,49.82000000000001
5,18.4,68.0,9.3,36.3,-2.2,79.0,50.0,36.3,1,2010-01-06,2010,9.099999999999998,80.94
6,1.4,63.0,-8.6,15.9,-10.5,75.0,49.0,32.0,1,2010-01-07,2010,10.0,67.76
7,23.5,24.0,-11.4,38.2,-7.0,67.0,13.0,38.2,1,2010-01-08,2010,34.9,96.64
8,37.7,18.0,-2.9,50.4,28.0,32.0,13.0,50.4,1,2010-01-09,2010,40.6,61.239999999999995
9,30.3,36.0,4.1,49.4,16.2,66.0,14.0,49.4,1,2010-01-10,2010,26.200000000000003,83.92
10,24.2,53.0,6.3,51.6,6.3,80.0,14.0,51.6,1,2010-01-11,2010,17.9,101.06
11,40.2,20.0,-1.6,53.6,11.6,68.0,10.0,53.6,1,2010-01-12,2010,41.800000000000004,94.88000000000001
12,37.3,30.0,6.6,46.0,20.8,63.0,15.0,46.0,1,2010-01-13,2010,30.699999999999996,74.47999999999999
13,24.6,61.0,12.2,42.0,13.5,78.0,30.0,42.0,1,2010-01-14,2010,12.400000000000002,77.78
14,32.5,37.0,7.5,46.5,17.7,60.0,11.0,46.5,1,2010-01-15,2010,25.0,78.44000000000001
15,42.3,24.0,7.7,53.7,31.5,35.0,15.0,53.7,1,2010-01-16,2010,34.599999999999994,61.400000000000006
16,36.7,47.0,16.6,44.5,21.8,81.0,25.0,44.5,1,2010-01-17,2010,20.1,74.86000000000001
17,35.0,47.0,15.3,44.5,-10.0,83.0,20.0,44.5,1,2010-01-18,2010,19.7,109.17999999999999
18,31.4,56.0,16.5,41.6,23.8,89.0,30.0,41.6,1,2010-01-19,2010,14.899999999999999,71.04
19,25.6,52.0,10.1,33.2,15.4,68.0,37.0,33.2,1,2010-01-20,2010,15.500000000000002,60.96
20,29.5,44.0,9.5,41.8,22.4,68.0,22.0,41.8,1,2010-01-21,2010,20.0,67.96
21,32.0,45.0,11.3,45.1,21.6,84.0,20.0,45.1,1,2010-01-22,2010,20.7,78.53999999999999
22,27.1,38.0,4.5,33.1,22.4,53.0,25.0,33.1,1,2010-01-23,2010,22.6,52.78000000000001
23,23.9,39.0,2.0,30.1,20.5,55.0,24.0,32.0,1,2010-01-24,2010,21.9,52.760000000000005
24,25.6,35.0,1.1,33.8,-1.9,57.0,23.0,33.8,1,2010-01-25,2010,24.5,79.94
25,28.1,50.0,10.9,41.9,10.1,70.0,27.0,41.9,1,2010-01-26,2010,17.200000000000003,79.28
26,30.7,58.0,16.6,39.8,20.3,89.0,36.0,39.8,1,2010-01-27,2010,14.099999999999998,70.58
27,21.5,83.0,17.2,31.9,14.6,88.0,67.0,32.0,1,2010-01-28,2010,4.300000000000001,56.86
28,21.3,68.0,11.1,39.3,5.4,86.0,30.0,39.3,1,2010-01-29,2010,10.200000000000001,86.06
29,23.9,63.0,11.1,44.1,8.6,85.0,24.0,44.1,1,2010-01-30,2010,12.799999999999999,89.46000000000001
30,25.9,53.0,8.9,37.3,12.6,85.0,27.0,37.3,1,2010-01-31,2010,17.0,77.58000000000001
31,27.1,43.0,7.2,33.4,23.8,54.0,32.0,33.4,2,2010-02-01,2010,19.900000000000002,49.519999999999996
32,29.9,32.0,1.4,43.6,11.1,59.0,12.0,43.6,2,2010-02-02,2010,28.5,81.42000000000002
33,30.6,37.0,6.1,43.1,18.6,64.0,19.0,43.1,2,2010-02-03,2010,24.5,72.70000000000002
34,29.0,53.0,12.3,36.5,24.4,89.0,25.0,36.5,2,2010-02-04,2010,16.7,67.14
35,31.5,42.0,10.1,41.6,21.9,77.0,27.0,41.6,2,2010-02-05,2010,21.4,69.7
36,32.0,51.0,15.1,41.5,21.9,75.0,35.0,41.5,2,2010-02-06,2010,16.9,66.0
37,22.2,82.0,17.6,24.8,19.9,88.0,73.0,32.0,2,2010-02-07,2010,4.599999999999998,42.300000000000004
38,15.2,79.0,9.9,20.0,8.6,87.0,70.0,32.0,2,2010-02-08,2010,5.299999999999999,49.519999999999996
39,17.3,53.0,1.2,34.6,-7.0,79.0,23.0,34.6,2,2010-02-09,2010,16.1,93.76000000000002
40,27.5,40.0,5.9,34.6,22.2,47.0,32.0,34.6,2,2010-02-10,2010,21.6,49.8
41,27.3,39.0,5.3,34.9,19.4,60.0,27.0,34.9,2,2010-02-11,2010,22.0,59.38
42,29.1,48.0,11.7,35.5,19.2,63.0,35.0,35.5,2,2010-02-12,2010,17.400000000000002,58.379999999999995
43,30.4,45.0,11.5,36.6,25.7,57.0,33.0,36.6,2,2010-02-13,2010,18.9,51.540000000000006
44,16.0,63.0,5.3,25.7,3.4,85.0,37.0,32.0,2,2010-02-14,2010,10.7,71.58
45,15.2,42.0,-5.8,32.4,0.1,65.0,16.0,32.4,2,2010-02-15,2010,21.0,81.94
46,18.4,52.0,2.0,39.5,-3.1,78.0,25.0,39.5,2,2010-02-16,2010,16.4,93.68
47,30.1,49.0,12.0,41.8,19.2,81.0,27.0,41.8,2,2010-02-17,2010,18.1,74.03999999999999
48,23.0,81.0,17.8,37.0,13.1,89.0,51.0,37.0,2,2010-02-18,2010,5.199999999999999,69.58000000000001
49,16.8,81.0,12.1,26.6,8.4,86.0,69.0,32.0,2,2010-02-19,2010,4.700000000000001,56.32
50,16.2,82.0,11.7,23.3,12.6,85.0,73.0,32.0,2,2010-02-20,2010,4.5,47.02
51,10.3,80.0,5.2,19.5,4.3,83.0,70.0,32.0,2,2010-02-21,2010,5.1000000000000005,51.879999999999995
52,11.0,70.0,2.9,23.9,2.0,80.0,41.0,32.0,2,2010-02-22,2010,8.1,67.94
53,24.0,40.0,1.6,36.2,4.1,76.0,25.0,36.2,2,2010-02-23,2010,22.4,82.46000000000001
54,31.2,31.0,3.8,40.8,24.4,50.0,19.0,40.8,2,2010-02-24,2010,27.4,59.56
55,28.0,62.0,15.7,34.7,18.1,88.0,36.0,34.7,2,2010-02-25,2010,12.3,67.32
56,22.3,54.0,5.8,37.9,5.8,88.0,21.0,37.9,2,2010-02-26,2010,16.5,88.22
57,27.4,42.0,5.2,44.6,9.9,69.0,11.0,44.6,2,2010-02-27,2010,22.2,87.58000000000001
58,25.8,79.0,20.0,34.9,20.2,89.0,60.0,34.9,2,2010-02-28,2010,5.800000000000001,57.14
59,26.1,74.0,18.4,39.1,14.3,90.0,40.0,39.1,3,2010-03-01,2010,7.700000000000003,74.80000000000001
60,27.8,58.0,12.9,48.8,10.5,86.0,21.0,48.8,3,2010-03-02,2010,14.9,93.7
61,31.4,56.0,15.5,48.3,15.4,84.0,23.0,48.3,3,2010-03-03,2010,15.899999999999999,86.85999999999999
62,29.9,63.0,17.9,44.6,16.4,83.0,32.0,44.6,3,2010-03-04,2010,12.0,78.56
63,29.9,59.0,16.3,36.9,20.0,85.0,34.0,36.9,3,2010-03-05,2010,13.599999999999998,67.25999999999999
64,37.0,54.0,20.8,48.1,31.2,87.0,27.0,48.1,3,2010-03-06,2010,16.2,70.5
65,38.0,58.0,21.6,52.8,24.5,88.0,15.0,52.8,3,2010-03-07,2010,16.4,86.58000000000001
66,35.5,61.0,22.8,42.6,30.1,78.0,41.0,42.6,3,2010-03-08,2010,12.7,57.82
67,35.3,51.0,17.5,44.6,25.7,86.0,26.0,44.6,3,2010-03-09,2010,17.799999999999997,72.5
68,26.4,73.0,18.4,40.1,17.0,88.0,32.0,40.1,3,2010-03-10,2010,8.0,75.26
69,27.7,46.0,8.4,37.4,20.2,79.0,28.0,37.4,3,2010-03-11,2010,19.299999999999997,67.56
70,36.2,30.0,6.9,51.5,27.2,54.0,17.0,51.5,3,2010-03-12,2010,29.300000000000004,69.62
71,36.2,42.0,12.8,49.9,21.0,70.0,14.0,49.9,3,2010-03-13,2010,23.400000000000002,81.06
72,27.9,79.0,22.1,36.6,22.4,90.0,56.0,36.6,3,2010-03-14,2010,5.799999999999997,58.44
73,31.2,69.0,20.7,46.0,18.1,91.0,38.0,46.0,3,2010-03-15,2010,10.5,78.98
74,36.9,46.0,13.2,57.6,17.3,84.0,11.0,57.6,3,2010-03-16,2010,23.7,98.58000000000001
75,43.2,30.0,10.1,60.7,25.0,61.0,9.0,60.7,3,2010-03-17,2010,33.1,86.42
76,35.7,51.0,16.2,54.8,23.2,88.0,12.0,54.8,3,2010-03-18,2010,19.500000000000004,90.96
77,18.6,85.0,14.8,26.7,4.5,89.0,80.0,32.0,3,2010-03-19,2010,3.8000000000000007,57.44
78,15.0,52.0,-2.2,35.0,-10.0,80.0,24.0,35.0,3,2010-03-20,2010,17.2,97.16
79,38.9,24.0,4.8,48.9,25.6,34.0,15.0,48.9,3,2010-03-21,2010,34.1,62.14
80,41.8,30.0,10.9,52.1,29.0,64.0,19.0,52.1,3,2010-03-22,2010,30.9,71.3
81,29.4,84.0,25.2,35.5,21.9,91.0,62.0,35.5,3,2010-03-23,2010,4.199999999999999,56.040000000000006
82,25.9,79.0,20.0,35.0,16.7,89.0,54.0,35.0,3,2010-03-24,2010,5.899999999999999,62.89999999999999
83,31.7,47.0,9.5,46.3,10.7,86.0,15.0,46.3,3,2010-03-25,2010,22.2,93.16000000000001
84,33.6,57.0,18.7,38.6,29.1,88.0,30.0,38.6,3,2010-03-26,2010,14.900000000000002,62.38000000000001
85,32.5,49.0,14.8,41.2,25.7,79.0,29.0,41.2,3,2010-03-27,2010,17.7,65.5
86,40.4,27.0,7.5,51.4,28.8,43.0,14.0,51.4,3,2010-03-28,2010,32.9,65.03999999999999
87,47.4,20.0,8.0,57.2,39.5,23.0,16.0,57.2,3,2010-03-29,2010,39.4,52.22
88,54.4,19.0,12.5,64.2,45.8,24.0,14.0,64.2,3,2010-03-30,2010,41.9,54.00000000000001
89,45.7,48.0,24.8,54.4,34.0,85.0,19.0,54.4,3,2010-03-31,2010,20.900000000000002,76.16
90,32.4,70.0,23.2,38.8,24.3,91.0,42.0,38.8,4,2010-04-01,2010,9.2,64.14
91,26.3,36.0,2.8,34.5,20.5,47.0,27.0,34.5,4,2010-04-02,2010,23.5,53.2
92,30.9,56.0,16.5,39.1,27.0,91.0,35.0,39.1,4,2010-04-03,2010,14.399999999999999,64.26
93,35.2,55.0,19.4,45.7,26.4,91.0,27.0,45.7,4,2010-04-04,2010,15.800000000000004,74.34
94,38.0,60.0,24.4,48.2,29.4,91.0,35.0,48.2,4,2010-04-05,2010,13.600000000000001,70.96000000000001
95,30.0,55.0,14.7,34.9,25.6,91.0,27.0,34.9,4,2010-04-06,2010,15.3,64.34
96,29.8,63.0,17.9,38.2,22.7,86.0,35.0,38.2,4,2010-04-07,2010,11.900000000000002,65.86000000000001
97,40.9,30.0,10.9,53.1,24.7,49.0,18.0,53.1,4,2010-04-08,2010,30.0,71.56
98,46.9,28.0,15.0,56.4,37.8,52.0,15.0,56.4,4,2010-04-09,2010,31.9,63.92
99,38.7,63.0,26.6,49.8,27.5,86.0,41.0,49.8,4,2010-04-10,2010,12.100000000000001,70.5
100,43.6,51.0,20.5,63.9,24.5,89.0,10.0,63.9,4,2010-04-11,2010,23.1,99.84
101,47.7,42.0,22.4,63.2,31.0,73.0,15.0,63.2,4,2010-04-12,2010,25.300000000000004,85.08
102,40.2,51.0,22.1,49.2,33.8,83.0,21.0,49.2,4,2010-04-13,2010,18.1,69.72
103,44.3,35.0,16.6,57.5,33.5,61.0,15.0,57.5,4,2010-04-14,2010,27.699999999999996,72.56
104,42.9,50.0,23.9,57.3,24.5,80.0,28.0,57.3,4,2010-04-15,2010,19.0,83.52
105,39.9,71.0,31.1,44.1,35.3,84.0,51.0,44.1,4,2010-04-16,2010,8.799999999999997,52.68000000000001
106,39.5,82.0,34.1,49.6,31.6,92.0,53.0,49.6,4,2010-04-17,2010,5.399999999999999,64.03999999999999
107,43.0,62.0,27.6,63.5,25.8,94.0,13.0,63.5,4,2010-04-18,2010,15.399999999999999,98.86
108,44.5,51.0,24.3,62.3,25.6,83.0,15.0,62.3,4,2010-04-19,2010,20.2,93.18
109,42.4,67.0,30.5,61.8,26.4,87.0,18.0,61.8,4,2010-04-20,2010,11.899999999999999,92.24000000000001
110,44.0,76.0,36.4,57.9,32.5,92.0,49.0,57.9,4,2010-04-21,2010,7.600000000000001,72.88
111,39.4,82.0,34.0,54.9,32.5,93.0,49.0,54.9,4,2010-04-22,2010,5.399999999999999,70.24
112,32.9,90.0,30.4,37.0,30.3,94.0,76.0,37.0,4,2010-04-23,2010,2.5,45.18
113,37.6,55.0,21.5,47.4,29.8,89.0,26.0,47.4,4,2010-04-24,2010,16.1,72.28
114,40.5,56.0,25.0,49.8,26.7,91.0,33.0,49.8,4,2010-04-25,2010,15.5,75.97999999999999
115,32.7,68.0,21.9,43.8,18.8,91.0,31.0,43.8,4,2010-04-26,2010,10.800000000000004,78.6
116,45.7,48.0,21.9,63.5,24.5,91.0,12.0,63.5,4,2010-04-27,2010,23.800000000000004,99.44000000000001
117,52.0,37.0,22.5,59.9,35.5,90.0,19.0,59.9,4,2010-04-28,2010,29.5,81.96
118,32.2,63.0,19.6,36.5,27.0,94.0,30.0,36.5,4,2010-04-29,2010,12.600000000000001,64.54
119,31.7,50.0,15.1,38.0,26.7,87.0,35.0,38.0,4,2010-04-30,2010,16.6,62.019999999999996
120,34.3,52.0,17.6,42.3,27.2,71.0,28.0,42.3,5,2010-05-01,2010,16.699999999999996,62.58
121,32.1,71.0,22.9,40.6,24.5,90.0,45.0,40.6,5,2010-05-02,2010,9.200000000000003,64.30000000000001
122,39.6,49.0,20.5,51.7,23.3,92.0,32.0,51.7,5,2010-05-03,2010,19.1,82.0
123,48.5,30.0,18.1,56.3,41.6,41.0,20.0,56.3,5,2010-05-04,2010,30.4,54.25999999999999
124,43.7,34.0,16.1,49.5,38.9,65.0,22.0,49.5,5,2010-05-05,2010,27.6,58.08
125,42.6,62.0,30.4,49.9,37.3,83.0,23.0,49.9,5,2010-05-06,2010,12.200000000000003,66.2
126,35.0,55.0,19.9,44.9,20.0,81.0,33.0,44.9,5,2010-05-08,2010,15.100000000000001,74.18
127,46.8,51.0,24.9,66.9,26.7,87.0,12.0,75.8,5,2010-05-09,2010,21.9,99.2
128,45.0,49.0,25.6,52.9,37.9,76.0,17.0,52.9,5,2010-05-10,2010,19.4,68.24000000000001
129,32.0,90.0,29.4,37.6,28.8,94.0,71.0,37.6,5,2010-05-11,2010,2.6000000000000014,49.08
130,28.6,89.0,25.8,34.9,24.5,93.0,78.0,34.9,5,2010-05-12,2010,2.8000000000000007,47.8
131,30.6,84.0,26.2,38.6,16.9,92.0,65.0,38.6,5,2010-05-13,2010,4.400000000000002,63.42
132,36.6,85.0,32.1,51.3,29.3,93.0,50.0,51.3,5,2010-05-14,2010,4.5,69.48
133,39.8,72.0,30.4,50.2,32.7,94.0,42.0,50.2,5,2010-05-15,2010,9.399999999999999,68.22
134,46.3,50.0,26.4,60.1,32.5,80.0,20.0,60.1,5,2010-05-16,2010,19.9,81.19999999999999
135,48.1,57.0,31.0,66.0,27.9,90.0,17.0,76.7,5,2010-05-17,2010,17.1,96.38
136,46.8,69.0,36.2,64.5,36.0,88.0,28.0,76.5,5,2010-05-18,2010,10.599999999999994,82.10000000000001
137,48.8,50.0,30.4,55.9,41.5,76.0,37.0,55.9,5,2010-05-19,2010,18.4,60.44
138,51.0,63.0,35.7,66.1,36.3,91.0,21.0,75.2,5,2010-05-20,2010,15.299999999999997,87.0
139,51.4,69.0,40.5,64.3,36.6,94.0,43.0,64.3,5,2010-05-21,2010,10.899999999999999,78.06
140,60.6,29.0,23.6,73.2,40.0,84.0,13.0,76.2,5,2010-05-22,2010,37.0,90.76
141,48.4,55.0,32.2,57.8,41.1,83.0,36.0,57.8,5,2010-05-23,2010,16.199999999999996,65.62
142,43.9,51.0,23.8,62.7,33.8,92.0,19.0,62.7,5,2010-05-24,2010,20.099999999999998,87.18
143,48.7,40.0,24.4,58.4,38.2,75.0,28.0,58.4,5,2010-05-25,2010,24.300000000000004,69.12
144,53.2,67.0,41.7,67.1,34.9,90.0,25.0,79.0,5,2010-05-26,2010,11.5,87.6
145,57.7,58.0,40.2,74.6,39.8,93.0,22.0,79.1,5,2010-05-27,2010,17.5,92.36
146,61.7,37.0,30.0,80.7,39.5,73.0,11.0,78.8,5,2010-05-28,2010,31.700000000000003,95.52000000000001
147,58.3,41.0,32.5,72.7,43.1,80.0,10.0,79.1,5,2010-05-29,2010,25.799999999999997,86.8
148,50.0,59.0,35.1,59.9,35.2,88.0,34.0,59.9,5,2010-05-30,2010,14.899999999999999,76.13999999999999
149,53.0,44.0,25.7,69.4,30.6,83.0,11.0,76.5,5,2010-05-31,2010,27.3,96.72000000000001
150,54.8,40.0,26.4,71.5,34.9,75.0,14.0,75.9,6,2010-06-01,2010,28.4,90.56
151,52.8,56.0,36.1,66.0,40.1,84.0,29.0,77.5,6,2010-06-02,2010,16.699999999999996,77.7
152,57.7,48.0,36.9,70.1,43.1,74.0,28.0,78.5,6,2010-06-03,2010,20.800000000000004,75.56
153,63.6,43.0,37.8,79.0,43.2,80.0,22.0,79.1,6,2010-06-04,2010,25.800000000000004,88.68
154,68.2,38.0,41.0,77.6,58.4,64.0,27.0,78.6,6,2010-06-05,2010,27.200000000000003,64.52
155,62.6,59.0,45.3,83.8,44.5,91.0,19.0,81.2,6,2010-06-06,2010,17.300000000000004,97.22
156,66.9,50.0,41.0,84.3,47.3,91.0,13.0,81.5,6,2010-06-07,2010,25.900000000000006,97.08000000000001
157,57.9,71.0,48.0,68.3,52.6,91.0,40.0,79.1,6,2010-06-08,2010,9.899999999999999,66.06
158,60.0,71.0,49.1,74.6,44.2,94.0,37.0,78.2,6,2010-06-09,2010,10.899999999999999,82.91999999999999
159,61.4,59.0,45.0,70.4,49.9,92.0,20.0,79.1,6,2010-06-10,2010,16.4,78.42000000000002
160,53.3,79.0,46.5,63.2,46.2,94.0,50.0,63.2,6,2010-06-11,2010,6.799999999999997,64.84
161,43.5,92.0,41.2,47.7,41.9,94.0,87.0,47.7,6,2010-06-12,2010,2.299999999999997,40.32
162,42.4,90.0,39.5,50.9,38.3,94.0,72.0,50.9,6,2010-06-13,2010,2.8999999999999986,52.52
163,48.0,71.0,37.7,61.3,38.3,94.0,36.0,61.3,6,2010-06-14,2010,10.299999999999997,75.88
164,57.2,42.0,33.1,67.6,43.5,68.0,24.0,78.2,6,2010-06-15,2010,24.1,71.94
165,59.1,50.0,37.7,74.0,39.3,87.0,19.0,79.0,6,2010-06-16,2010,21.4,91.18
166,59.8,28.0,23.6,70.4,45.5,69.0,11.0,73.6,6,2010-06-17,2010,36.199999999999996,77.78
167,58.6,44.0,33.0,77.4,36.5,75.0,9.0,79.1,6,2010-06-18,2010,25.6,96.66000000000001
168,59.7,66.0,47.3,74.6,42.5,89.0,41.0,78.0,6,2010-06-19,2010,12.400000000000006,81.38
169,59.4,64.0,45.7,77.5,40.3,88.0,12.0,79.1,6,2010-06-20,2010,13.699999999999996,96.56000000000002
170,61.9,47.0,35.5,78.6,40.8,90.0,9.0,78.6,6,2010-06-21,2010,26.4,98.96
171,62.4,35.0,25.3,78.1,39.5,80.0,7.0,79.0,6,2010-06-22,2010,37.099999999999994,96.88
172,57.7,48.0,37.7,68.1,40.9,68.0,33.0,79.1,6,2010-06-23,2010,20.0,71.8
173,63.0,46.0,35.9,84.9,40.9,90.0,10.0,81.8,6,2010-06-24,2010,27.1,104.8
174,65.8,32.0,30.4,84.7,40.1,69.0,10.0,81.6,6,2010-06-25,2010,35.4,97.84000000000002
175,65.9,38.0,38.8,77.8,52.9,62.0,22.0,79.1,6,2010-06-26,2010,27.10000000000001,71.29999999999998
176,58.6,65.0,46.0,71.3,41.3,92.0,45.0,78.5,6,2010-06-27,2010,12.600000000000001,78.92
177,61.9,58.0,43.1,77.4,42.3,95.0,20.0,79.1,6,2010-06-28,2010,18.799999999999997,94.1
178,64.7,46.0,40.6,77.7,43.9,84.0,22.0,78.8,6,2010-06-29,2010,24.1,88.12
179,64.6,44.0,38.7,79.9,42.9,80.0,20.0,79.0,6,2010-06-30,2010,25.89999999999999,90.6
180,65.5,47.0,42.1,81.8,51.3,86.0,19.0,79.8,7,2010-07-01,2010,23.4,86.62
181,63.5,61.0,47.6,76.8,48.0,92.0,27.0,78.8,7,2010-07-02,2010,15.899999999999999,84.2
182,67.2,40.0,36.2,81.3,46.7,84.0,11.0,79.2,7,2010-07-03,2010,31.0,92.88
183,57.3,72.0,47.8,68.1,47.1,89.0,51.0,78.1,7,2010-07-04,2010,9.5,66.68
184,59.8,42.0,34.0,75.9,46.7,90.0,16.0,78.4,7,2010-07-05,2010,25.799999999999997,87.84
185,61.0,51.0,38.1,79.0,40.3,90.0,17.0,78.9,7,2010-07-06,2010,22.9,96.98
186,51.2,87.0,47.6,59.8,46.0,92.0,69.0,59.8,7,2010-07-07,2010,3.6000000000000014,54.08
187,51.4,81.0,45.6,63.1,40.1,94.0,63.0,63.1,7,2010-07-08,2010,5.799999999999997,66.16
188,56.3,67.0,44.0,70.3,39.1,94.0,35.0,79.1,7,2010-07-09,2010,12.299999999999997,84.44
189,61.0,53.0,40.5,77.0,43.9,89.0,20.0,79.1,7,2010-07-10,2010,20.5,89.94
190,61.5,46.0,38.9,77.7,42.9,80.0,20.0,79.1,7,2010-07-11,2010,22.6,88.4
191,68.1,35.0,37.7,80.7,55.7,56.0,19.0,79.1,7,2010-07-12,2010,30.39999999999999,70.32
192,71.6,31.0,38.5,83.8,56.9,47.0,17.0,81.1,7,2010-07-13,2010,33.099999999999994,69.69999999999999
193,70.1,40.0,43.4,81.0,58.1,71.0,21.0,79.3,7,2010-07-14,2010,26.699999999999996,72.9
194,66.9,42.0,35.7,83.6,48.4,86.0,10.0,80.8,7,2010-07-15,2010,31.200000000000003,94.56
195,68.0,29.0,27.1,87.8,41.6,69.0,7.0,84.2,7,2010-07-16,2010,40.9,100.52000000000001
196,68.2,34.0,35.1,87.2,46.0,61.0,11.0,83.6,7,2010-07-17,2010,33.1,91.19999999999999
197,67.8,44.0,42.6,83.2,49.9,75.0,20.0,80.9,7,2010-07-18,2010,25.199999999999996,85.1
198,65.0,50.0,43.3,87.0,45.4,79.0,16.0,83.5,7,2010-07-19,2010,21.700000000000003,96.28000000000002
199,59.5,66.0,47.6,76.5,48.0,85.0,40.0,78.2,7,2010-07-20,2010,11.899999999999999,76.69999999999999
200,65.9,54.0,47.2,82.0,52.0,85.0,24.0,80.4,7,2010-07-22,2010,18.700000000000003,83.96000000000001
201,68.4,41.0,38.8,83.7,48.6,81.0,13.0,81.0,7,2010-07-23,2010,29.60000000000001,91.57999999999998
202,62.5,61.0,48.2,71.6,54.4,82.0,42.0,78.7,7,2010-07-24,2010,14.299999999999997,63.599999999999994
203,64.6,60.0,49.4,77.8,48.0,90.0,35.0,78.8,7,2010-07-25,2010,15.199999999999996,81.6
204,67.9,43.0,40.3,85.8,45.4,82.0,17.0,82.7,7,2010-07-26,2010,27.60000000000001,95.8
205,66.1,50.0,44.8,82.8,50.5,81.0,21.0,80.6,7,2010-07-27,2010,21.299999999999997,85.9
206,63.7,74.0,54.5,76.2,57.5,90.0,43.0,78.0,7,2010-07-28,2010,9.200000000000003,67.62
207,64.1,70.0,53.2,78.3,57.3,94.0,34.0,78.6,7,2010-07-29,2010,10.899999999999991,74.6
208,63.3,73.0,53.3,79.5,50.4,94.0,38.0,79.8,7,2010-07-30,2010,10.0,81.26
209,64.7,67.0,52.4,79.4,49.1,94.0,39.0,79.8,7,2010-07-31,2010,12.300000000000004,82.10000000000001
210,63.4,72.0,52.8,79.2,54.8,92.0,35.0,79.4,8,2010-08-01,2010,10.600000000000001,76.92
211,60.5,78.0,53.0,75.4,55.0,92.0,41.0,77.8,8,2010-08-02,2010,7.5,70.76
212,60.9,70.0,49.9,76.7,48.6,93.0,38.0,78.8,8,2010-08-03,2010,11.0,79.9
213,58.9,73.0,49.7,74.6,50.8,86.0,42.0,79.1,8,2010-08-04,2010,9.199999999999996,71.63999999999999
214,57.8,73.0,48.2,72.1,44.2,94.0,38.0,78.5,8,2010-08-05,2010,9.599999999999994,80.06
215,62.0,60.0,45.8,77.4,45.5,94.0,26.0,79.1,8,2010-08-06,2010,16.200000000000003,88.38000000000001
216,65.8,49.0,43.6,80.5,48.3,84.0,21.0,79.2,8,2010-08-07,2010,22.199999999999996,86.88
217,65.2,53.0,45.9,77.4,53.6,87.0,23.0,79.0,8,2010-08-08,2010,19.300000000000004,78.84
218,59.8,69.0,49.1,71.6,50.0,86.0,43.0,78.3,8,2010-08-09,2010,10.699999999999996,69.07999999999998
219,61.2,50.0,37.1,78.0,41.9,93.0,16.0,78.6,8,2010-08-10,2010,24.1,95.82000000000002
220,62.8,44.0,37.1,80.5,44.9,75.0,15.0,79.1,8,2010-08-11,2010,25.699999999999996,89.19999999999999
221,63.4,46.0,40.2,76.5,48.8,78.0,20.0,79.0,8,2010-08-12,2010,23.199999999999996,80.58000000000001
222,61.4,39.0,32.6,78.8,42.8,81.0,13.0,77.8,8,2010-08-13,2010,28.799999999999997,92.48
223,56.2,56.0,40.2,67.8,40.2,75.0,36.0,79.2,8,2010-08-14,2010,16.0,73.64
224,61.8,65.0,49.3,73.5,46.1,85.0,47.0,79.0,8,2010-08-15,2010,12.5,73.08000000000001
225,60.2,65.0,46.5,77.8,46.4,94.0,26.0,79.1,8,2010-08-16,2010,13.700000000000003,87.88
226,61.7,53.0,38.8,79.9,41.3,94.0,16.0,79.1,8,2010-08-17,2010,22.900000000000006,98.68000000000002
227,67.0,38.0,36.4,85.1,48.3,69.0,13.0,82.0,8,2010-08-18,2010,30.6,88.96000000000001
228,62.6,53.0,44.9,68.6,55.1,89.0,41.0,79.1,8,2010-08-19,2010,17.700000000000003,62.77999999999999
229,64.8,41.0,39.4,77.5,51.3,60.0,22.0,78.9,8,2010-08-20,2010,25.4,71.88000000000001
230,62.7,43.0,35.9,81.2,44.5,78.0,16.0,79.2,8,2010-08-21,2010,26.800000000000004,91.02
231,67.6,36.0,36.1,86.1,45.1,70.0,14.0,82.7,8,2010-08-22,2010,31.499999999999993,93.16
232,67.5,43.0,43.6,77.7,51.6,68.0,24.0,78.9,8,2010-08-23,2010,23.9,73.94
233,57.8,60.0,43.8,70.3,49.8,85.0,45.0,78.8,8,2010-08-24,2010,14.0,66.9
234,60.8,53.0,39.1,77.7,40.2,90.0,11.0,78.9,8,2010-08-25,2010,21.699999999999996,97.94
235,62.8,39.0,31.0,83.4,39.6,77.0,12.0,80.7,8,2010-08-26,2010,31.799999999999997,99.2
236,65.9,32.0,32.3,84.1,44.6,64.0,13.0,81.2,8,2010-08-27,2010,33.60000000000001,89.86000000000001
237,65.5,39.0,37.9,78.1,53.2,79.0,19.0,78.8,8,2010-08-28,2010,27.6,78.5
238,66.8,29.0,32.9,77.8,53.2,62.0,16.0,78.2,8,2010-08-29,2010,33.9,73.16
239,60.6,36.0,31.6,73.3,48.5,62.0,17.0,78.5,8,2010-08-30,2010,29.0,73.0
240,58.7,49.0,38.8,67.1,47.4,71.0,32.0,78.7,8,2010-08-31,2010,19.900000000000006,65.74
