,avg_win,avg_gus,avg_dir,rfm,Month,aag,aaw,aar,aad
0,26.4,36.8,274.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
1,12.8,18.0,240.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
2,8.3,12.2,290.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
3,2.9,4.5,47.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
4,16.7,23.1,265.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
5,16.0,23.9,276.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
6,20.4,30.0,276.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
7,17.5,25.2,265.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
8,6.9,10.6,292.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
9,18.2,24.6,258.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
10,17.0,24.6,270.0,0.0,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
11,7.4,11.0,351.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
12,16.3,22.6,254.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
13,9.9,14.0,259.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
14,7.9,11.8,270.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
15,11.9,16.7,269.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
16,6.7,9.7,276.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
17,9.6,14.7,288.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
18,7.0,10.5,293.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
19,4.8,7.4,285.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
20,12.4,16.8,257.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
21,11.8,16.3,264.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
22,3.7,5.3,52.0,0.03,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
23,8.2,10.8,281.0,0.09,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
24,4.3,6.1,35.0,0.2,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
25,3.9,5.6,51.0,0.2,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
26,12.7,17.7,263.0,0.2,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
27,19.6,28.0,269.0,0.2,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
28,9.4,14.4,267.0,0.2,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
29,15.7,21.3,261.0,0.21,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
30,15.4,21.4,260.0,0.21,1,12.121138211382114,8.1869918699187,0.08766937669376694,243.07588075880759
31,11.4,17.0,279.0,0.0,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
32,16.6,24.4,271.0,0.0,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
33,10.3,15.0,275.0,0.0,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
34,7.0,10.1,271.0,0.0,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
35,11.1,15.8,270.0,0.0,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
36,7.3,10.5,256.0,0.0,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
37,4.3,6.9,272.0,0.0,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
38,2.0,3.4,39.0,0.0,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
39,18.4,25.4,268.0,0.0,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
40,3.5,5.4,334.0,0.0,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
41,6.4,9.4,267.0,0.01,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
42,5.6,8.4,298.0,0.01,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
43,2.6,4.4,67.0,0.01,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
44,3.6,5.4,266.0,0.03,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
45,13.8,19.7,270.0,0.03,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
46,16.5,24.1,277.0,0.03,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
47,16.6,22.9,267.0,0.03,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
48,10.2,15.1,269.0,0.03,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
49,14.5,20.0,256.0,0.03,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
50,14.8,21.2,273.0,0.03,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
51,10.9,15.3,266.0,0.03,2,11.868646864686468,8.037293729372937,0.15706270627062704,236.13531353135315
